%time,field.x,field.y,field.z,field.qw,field.qx,field.qy,field.qz,field.vx,field.vy,field.vz,field.angx,field.angy,field.angz
1651434030741782851,-0.0232140701264143,-0.002055453136563301,-0.07080244272947311,0.9998579621315002,-0.000880621315445751,-0.0005249204114079475,0.01682085357606411,-0.0008765480015426874,0.00041900656651705503,-0.00013544061221182346,0.25,0.0625,-0.0625
1651434030744004278,-0.02321282960474491,-0.0020561206620186567,-0.07080259919166565,0.9998579621315002,-0.0008765116799622774,-0.0005432881880551577,0.016820700839161873,-0.0008068884490057826,0.0003845322644338012,-0.00012719124788418412,0.25,0.0625,-0.0625
1651434030745681600,-0.023211609572172165,-0.0020567672327160835,-0.0708027109503746,0.9998579621315002,-0.0008745658560656011,-0.0005523485015146434,0.016820644959807396,-0.0007453071884810925,0.0003543919592630118,-0.00011819916835520416,0.25,0.0625,-0.0625
1651434030748001164,-0.023210566490888596,-0.0020573195070028305,-0.07080279290676117,0.9998579621315002,-0.0008734881412237883,-0.0005569781642407179,0.016820596531033516,-0.0006970295216888189,0.00033123124740086496,-0.0001082377930288203,0.25,0.0625,-0.0625
1651434030750088779,-0.023209763690829277,-0.002057749545201659,-0.07080287486314774,0.9998579621315002,-0.0008727586246095598,-0.000559366075322032,0.016820529475808144,-0.0006644380046054721,0.00031631250749342144,-9.681621304480359e-05,0.25,0.0625,-0.0625
1651434030752360869,-0.02320868894457817,-0.0020582659635692835,-0.07080286741256714,0.9998579621315002,-0.0008762411307543516,-0.0005611003143712878,0.01682158000767231,-0.0005362287629395723,0.0003008730127476156,-6.853180821053684e-05,-0.1875,-0.0,0.0625
1651434030753764127,-0.023207664489746094,-0.0020586815662682056,-0.07080282270908356,0.9998579621315002,-0.0008780996431596577,-0.0005619870498776436,0.016822142526507378,-0.00041727523785084486,0.00029173301300033927,-3.963075141655281e-05,-0.1875,-0.0,0.0625
1651434030755645778,-0.02320663072168827,-0.0020590433850884438,-0.07080274075269699,0.9998579621315002,-0.0008790292777121067,-0.0005624379264190793,0.01682242378592491,-0.00030947724008001387,0.0002855876518879086,-1.2057570529577788e-05,-0.1875,-0.0,0.0625
1651434030758010065,-0.02320566214621067,-0.0020592643413692713,-0.07080262154340744,0.9998579621315002,-0.000879699073266238,-0.0005626865313388407,0.016822630539536476,-0.0002028127055382356,0.0002884515270125121,1.9308703485876322e-05,-0.1875,-0.0,0.0625
1651434030759892921,-0.0232046227902174,-0.002059514867141843,-0.0708024799823761,0.9998579621315002,-0.0008798796916380525,-0.0005628021899610758,0.016822682693600655,-0.00010994196054525673,0.00028836133424192667,4.6142125938786194e-05,-0.1875,-0.0,0.0625
1651434030762199871,-0.02320159040391445,-0.0020582641009241343,-0.07079920917749405,0.9998580813407898,-0.0008843134855851531,-0.0005074530490674078,0.016814198344945908,6.646166002610698e-05,0.0003575325827114284,0.00021470370120368898,-0.1875,-0.0,0.0625
1651434030763814534,-0.023198755457997322,-0.0020570780616253614,-0.0707961767911911,0.9998582005500793,-0.0008866099524311721,-0.0004792848485521972,0.016809893772006035,0.00021844875300303102,0.00041757020517252386,0.0003567709936760366,-0.1875,-0.0,0.0625
1651434030766259575,-0.02319667860865593,-0.0020573551300913095,-0.0707945004105568,0.9998587965965271,-0.0007991857710294425,-0.000577062601223588,0.016773665323853493,0.0003207121917512268,0.00040457380237057805,0.0004240436537656933,-0.1875,-0.0,0.0625
1651434030769156592,-0.023194728419184685,-0.0020575514063239098,-0.07079292088747025,0.9998591542243958,-0.0007542127277702093,-0.0006274537299759686,0.01675502210855484,0.00040771946078166366,0.00039638130692765117,0.0004788974183611572,-0.1875,-0.0,0.0625
1651434030769689590,-0.023193087428808212,-0.002057825680822134,-0.07079165428876877,0.9998592734336853,-0.0007324903854168952,-0.0006516313878819346,0.016746029257774353,0.00047390913823619485,0.00038537345244549215,0.0005177509738132358,-0.1875,-0.0,0.0625
1651434030772245961,-0.02319161221385002,-0.002058470854535699,-0.07079050689935684,0.9998586177825928,-0.000735343259293586,-0.00054396060295403,0.01679011434316635,0.000525016977917403,0.0003582134086173028,0.000545168062672019,-0.1875,-0.0,0.0625
