%time,field.ax,field.ay,field.az,field.gx,field.gy,field.gz
1644287564603204377,-0.05000000074505806,0.0,0.09000000357627869,0.125,-0.0625,0.0
1644287564614754249,-0.03999999910593033,-0.009999999776482582,0.10999999940395355,-0.0625,-0.0625,-0.0625
1644287564624476005,-0.05000000074505806,0.0,0.07000000029802322,0.0625,-0.0625,0.0
1644287564634031278,-0.05000000074505806,-0.019999999552965164,0.07000000029802322,-0.125,-0.1875,0.1875
1644287564643078202,-0.029999999329447746,-0.009999999776482582,0.05999999865889549,0.0,0.125,-0.0625
1644287564653232973,-0.03999999910593033,-0.009999999776482582,0.07000000029802322,-0.0625,0.0625,-0.0625
1644287564663240235,-0.029999999329447746,-0.019999999552965164,0.09000000357627869,0.0625,-0.125,0.0
1644287564674325985,-0.029999999329447746,-0.019999999552965164,0.07999999821186066,0.125,0.0625,-0.0625
1644287564683538003,-0.05000000074505806,0.0,0.10999999940395355,0.1875,0.125,0.0625
1644287564693826526,-0.05000000074505806,-0.009999999776482582,0.05000000074505806,0.0,0.0625,-0.0625
1644287564703187537,-0.029999999329447746,0.0,0.07999999821186066,0.0,-0.1875,0.0
1644287564713354659,-0.029999999329447746,0.0,0.09000000357627869,0.0,-0.1875,0.0
1644287564723405362,-0.05000000074505806,-0.009999999776482582,0.10000000149011612,0.125,-0.0625,0.125
1644287564733434495,-0.029999999329447746,-0.019999999552965164,0.07000000029802322,-0.0625,0.0625,0.0625
1644287564743820365,-0.029999999329447746,-0.029999999329447746,0.05000000074505806,-0.1875,0.0625,0.0
1644287564753251199,-0.009999999776482582,-0.009999999776482582,0.07000000029802322,-0.0625,-0.25,0.125
1644287564763553842,-0.03999999910593033,-0.029999999329447746,0.07999999821186066,-0.125,0.0,0.125
1644287564773493674,-0.05000000074505806,-0.029999999329447746,0.09000000357627869,0.125,0.0,-0.0625
1644287564783289358,-0.029999999329447746,-0.029999999329447746,0.03999999910593033,-0.125,-0.125,0.0
1644287564793208295,-0.05999999865889549,-0.009999999776482582,0.07999999821186066,0.0,0.1875,-0.125
1644287564803978780,-0.05000000074505806,-0.019999999552965164,0.07000000029802322,0.0,-0.0625,0.125
1644287564815325936,-0.029999999329447746,0.0,0.09000000357627869,0.0,-0.0625,0.125
1644287564823659549,-0.03999999910593033,-0.029999999329447746,0.07000000029802322,0.0,-0.0625,-0.0625
1644287564833118401,-0.05000000074505806,-0.019999999552965164,0.09000000357627869,0.0625,0.0625,0.0
1644287564843490328,-0.03999999910593033,-0.009999999776482582,0.05999999865889549,0.0625,0.125,0.0
1644287564853165353,-0.029999999329447746,-0.019999999552965164,0.05999999865889549,0.125,-0.0625,0.0
1644287564864337889,-0.05000000074505806,0.0,0.07000000029802322,-0.25,0.0,0.0
1644287564873355541,-0.05999999865889549,-0.019999999552965164,0.07000000029802322,-0.0625,0.0625,0.0625
1644287564884093847,-0.05999999865889549,-0.029999999329447746,0.07000000029802322,0.0625,-0.0625,0.125
1644287564893222083,-0.029999999329447746,0.0,0.05999999865889549,0.125,-0.0625,0.0
1644287564903471225,-0.03999999910593033,-0.019999999552965164,0.10000000149011612,0.1875,0.125,0.0625
