%time,field.data
1646148407122602179,time:1646148407.1221979, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407143681038,time:1646148407.1428044, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407162300082,time:1646148407.1619813, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407183295963,time:1646148407.1824749, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407202595019,time:1646148407.202298, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407222523607,time:1646148407.222162, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407242318796,time:1646148407.2418845, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407264636953,time:1646148407.2641866, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407283976562,time:1646148407.2833893, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407302221517,time:1646148407.3019001, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407322276439,time:1646148407.3218942, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407342431235,time:1646148407.3420463, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407362761495,time:1646148407.3623757, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407382278419,time:1646148407.382018, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407402071971,time:1646148407.4017994, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407422386372,time:1646148407.4219575, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407442402344,time:1646148407.4419234, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407462577661,time:1646148407.4622476, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407482180209,time:1646148407.481914, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407502061344,time:1646148407.5017629, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407525175981,time:1646148407.5248811, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407542510558,time:1646148407.542033, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407562163688,time:1646148407.5618737, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407582273261,time:1646148407.5820174, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407603410303,time:1646148407.6028981, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407622465071,time:1646148407.6221647, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407642727945,time:1646148407.6422992, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407663292740,time:1646148407.6625252, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407682331886,time:1646148407.6820593, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407702951590,time:1646148407.7026803, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407722426177,time:1646148407.7220612, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407742289290,time:1646148407.7419536, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407763592627,time:1646148407.7629848, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407783429239,time:1646148407.7832005, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
